SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2193696,TCGA-BA-5152-01,PPARG,normal,      -0.569,627
1651209,TCGA-CM-4748-01,PPARG,normal,      -0.656,376
1899921,TCGA-BH-A0DZ-01,PPARG,normal,       0.180,414
2263116,TCGA-77-A5G8-01,PPARG,normal,       0.186,418
1783444,TCGA-BG-A0W1-01,PPARG,normal,       0.151,419
1900217,TCGA-E9-A22A-01,PPARG,normal,      -0.289,414
2122185,TCGA-J8-A3O0-01,PPARG,normal,      -0.198,542
2185815,TCGA-DU-7304-02,PPARG,normal,      -0.847,545
1650297,TCGA-AB-2805-03,PPARG,normal,      -0.507,377
2262970,TCGA-S9-A89Z-01,PPARG,normal,      -0.357,545
2263307,TCGA-VN-A88N-01,PPARG,normal,      -0.590,435
2120378,TCGA-76-4926-01,PPARG,normal,      -0.491,329
2120413,TCGA-B0-4691-01,PPARG,normal,      -0.618,416
2262697,TCGA-FD-A6TC-01,PPARG,normal,      -0.737,413
2121583,TCGA-DA-A3F8-06,PPARG,over,       2.013,540
2269968,TCGA-PK-A5HB-01,PPARG,normal,       0.207,631
1651040,TCGA-AA-3821-01,PPARG,normal,      -0.452,376
1783497,TCGA-D1-A15X-01,PPARG,normal,      -0.733,419
1783428,TCGA-BG-A0M8-01,PPARG,normal,       0.026,419
1651522,TCGA-AF-6136-01,PPARG,normal,      -0.722,375
2269814,TCGA-DX-A6B9-01,PPARG,normal,      -0.295,635
2121546,TCGA-D3-A51N-06,PPARG,normal,      -0.560,540
2340126,TCGA-B5-A3FD-01,PPARG,normal,      -0.214,419
1651241,TCGA-CM-6680-01,PPARG,normal,       0.235,376
2339941,TCGA-YL-A8S8-01,PPARG,normal,       0.513,435
2196371,TCGA-61-1721-01,PPARG,over,       6.640,331
2339799,TCGA-JW-AAVH-01,PPARG,normal,      -0.427,415
2121497,TCGA-BF-A1Q0-01,PPARG,normal,      -0.601,540
2194754,TCGA-97-8177-01,PPARG,normal,      -0.158,417
2186081,TCGA-GN-A4U8-06,PPARG,normal,       0.947,540
2380406,TCGA-BF-A5EO-01,PPARG,normal,      -0.734,540
1651016,TCGA-AA-3673-01,PPARG,normal,      -0.226,376
2120415,TCGA-B0-4694-01,PPARG,normal,      -0.382,416
2194588,TCGA-DD-A1EH-01,PPARG,normal,       0.234,628
2386188,TCGA-MA-AA3Z-01,PPARG,normal,      -0.411,415
1914011,TCGA-55-6984-01,PPARG,normal,       0.816,417
2198283,TCGA-EY-A1GI-01,PPARG,normal,      -0.098,419
2386114,TCGA-C8-A8HP-01,PPARG,normal,      -0.319,414
1913980,TCGA-44-5644-01,PPARG,normal,      -0.651,417
1913986,TCGA-44-7670-01,PPARG,normal,      -0.309,417
2262710,TCGA-C5-A2LZ-01,PPARG,normal,      -0.390,415
1900246,TCGA-EW-A1P3-01,PPARG,normal,      -0.056,414
2198463,TCGA-AJ-A3TW-01,PPARG,normal,      -0.623,419
2198234,TCGA-IM-A4EB-01,PPARG,normal,       0.018,542
1900017,TCGA-C8-A138-01,PPARG,normal,      -0.304,414
2194584,TCGA-DD-A4NK-01,PPARG,normal,      -0.611,628
2198260,TCGA-AX-A2HJ-01,PPARG,normal,       0.282,419
1779281,TCGA-A2-A0CZ-01,PPARG,normal,       0.320,414
2121963,TCGA-EL-A3CU-01,PPARG,normal,      -0.216,542
2195182,TCGA-77-8131-01,PPARG,normal,      -0.156,418
2385727,TCGA-BB-A6UO-01,PPARG,normal,      -0.711,627
